= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 9.37 seconds. = = =
         7150684 function calls (7025948 primitive calls) in 9.813 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
22756/11495    0.036    0.000    0.082    0.000 transforms.py:2431(get_affine)
     4252    0.006    0.000    0.081    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.075    0.075 backend_bases.py:3404(new_figure_manager)
        1    0.000    0.000    0.075    0.075 backend_bases.py:3413(new_figure_manager_given_figure)
        1    0.000    0.000    0.075    0.075 backend_bases.py:1774(new_manager)
        1    0.047    0.047    0.075    0.075 backend_bases.py:2682(create_with_canvas)
     5596    0.015    0.000    0.074    0.000 nanfunctions.py:236(nanmin)
    11193    0.008    0.000    0.073    0.000 contextlib.py:76(inner)
    14022    0.016    0.000    0.073    0.000 colors.py:409(to_rgba_array)
        1    0.000    0.000    0.072    0.072 _base.py:4306(get_default_bbox_extra_artists)
        1    0.000    0.000    0.072    0.072 contour.py:1(<module>)
     2798    0.020    0.000    0.072    0.000 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.002    0.002    0.072    0.072 _base.py:4335(<listcomp>)
     5596    0.003    0.000    0.071    0.000 collections.py:818(set_edgecolor)
     2815    0.006    0.000    0.069    0.000 artist.py:860(_fully_clipped_to_axes)
     5870    0.005    0.000    0.069    0.000 transforms.py:1472(transform)
      120    0.001    0.000    0.069    0.001 lines.py:738(draw)
    28036    0.014    0.000    0.068    0.000 transforms.py:1833(frozen)
     5752    0.006    0.000    0.068    0.000 path.py:99(__init__)
        1    0.000    0.000    0.067    0.067 backend_bases.py:1(<module>)
     5596    0.014    0.000    0.067    0.000 nanfunctions.py:369(nanmax)
     8394    0.004    0.000    0.067    0.000 fromnumeric.py:1768(ravel)
      319    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    14276    0.015    0.000    0.066    0.000 __init__.py:64(check_isinstance)
    22589    0.012    0.000    0.066    0.000 transforms.py:2498(composite_transform_factory)
14148/14147    0.017    0.000    0.064    0.000 transforms.py:1777(__eq__)
    53854    0.026    0.000    0.064    0.000 transforms.py:1889(__init__)
     2816    0.009    0.000    0.063    0.000 _base.py:2516(_process_unit_info)
21353/15467    0.005    0.000    0.063    0.000 deprecation.py:289(wrapper)
     2798    0.003    0.000    0.063    0.000 cm.py:398(__init__)
    74956    0.062    0.000    0.062    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8394    0.007    0.000    0.062    0.000 core.py:4624(ravel)
104071/66821    0.026    0.000    0.060    0.000 artist.py:317(stale)
        1    0.000    0.000    0.059    0.059 text.py:1(<module>)
    79749    0.045    0.000    0.059    0.000 transforms.py:1769(__init__)
