= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 1.25 seconds. = = =
         1366344 function calls (1345329 primitive calls) in 1.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.001    0.000    0.026    0.000 text.py:915(get_window_extent)
      223    0.008    0.000    0.025    0.000 artist.py:1517(get_setters)
     5768    0.002    0.000    0.025    0.000 re.py:197(search)
       31    0.001    0.000    0.025    0.001 axis.py:1270(_update_ticks)
        1    0.000    0.000    0.025    0.025 colors.py:1(<module>)
      185    0.002    0.000    0.024    0.000 text.py:358(_get_layout)
        1    0.013    0.013    0.024    0.024 backend_macosx.py:148(__init__)
        1    0.000    0.000    0.024    0.024 __config__.py:1(<module>)
        1    0.000    0.000    0.023    0.023 axes3d.py:1(<module>)
        1    0.000    0.000    0.023    0.023 index_tricks.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _pickle.py:1(<module>)
        1    0.000    0.000    0.023    0.023 genomeBcalc.py:1(<module>)
        1    0.000    0.000    0.022    0.022 defmatrix.py:1(<module>)
      386    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.021    0.021 linalg.py:1(<module>)
        3    0.000    0.000    0.020    0.007 core.py:1(<module>)
        9    0.000    0.000    0.019    0.002 _base.py:729(__init_subclass__)
      215    0.000    0.000    0.019    0.000 sre_parse.py:944(parse)
      384    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      384    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      320    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
  464/215    0.001    0.000    0.018    0.000 sre_parse.py:436(_parse_sub)
  495/219    0.007    0.000    0.018    0.000 sre_parse.py:494(_parse)
      370    0.000    0.000    0.017    0.000 text.py:65(_get_text_metrics_with_cache)
      644    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.016    0.016 Image.py:1(<module>)
        3    0.000    0.000    0.016    0.005 _base.py:2943(_update_title_position)
      136    0.000    0.000    0.015    0.000 _docstring.py:38(__call__)
       18    0.000    0.000    0.015    0.001 axis.py:1311(_get_ticklabel_bboxes)
       18    0.000    0.000    0.014    0.001 axis.py:1315(<listcomp>)
  126/115    0.000    0.000    0.014    0.000 _docstring.py:79(__call__)
       95    0.000    0.000    0.014    0.000 re.py:249(compile)
      450    0.014    0.000    0.014    0.000 {built-in method builtins.dir}
  412/339    0.000    0.000    0.014    0.000 typing.py:306(inner)
       44    0.000    0.000    0.014    0.000 text.py:73(_get_text_metrics_with_cache_impl)
       44    0.000    0.000    0.014    0.000 backend_agg.py:208(get_text_width_height_descent)
    81777    0.008    0.000    0.013    0.000 {built-in method builtins.isinstance}
       65    0.000    0.000    0.013    0.000 font_manager.py:1233(findfont)
     9934    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
      223    0.007    0.000    0.013    0.000 artist.py:1453(<listcomp>)
       30    0.002    0.000    0.012    0.000 __init__.py:847(_rc_params_in_file)
      707    0.000    0.000    0.012    0.000 inspect.py:3252(signature)
        9    0.000    0.000    0.012    0.001 axis.py:2143(_get_tick_boxes_siblings)
      320    0.012    0.000    0.012    0.000 {built-in method io.open_code}
        3    0.003    0.001    0.012    0.004 font_manager.py:1393(_findfont_cached)
      707    0.000    0.000    0.012    0.000 inspect.py:2998(from_callable)
       31    0.000    0.000    0.012    0.000 axis.py:1606(get_major_ticks)
       78    0.001    0.000    0.012    0.000 text.py:734(draw)
  777/707    0.002    0.000    0.012    0.000 inspect.py:2375(_signature_from_callable)
       12    0.000    0.000    0.012    0.001 _docstring.py:51(__missing__)
        2    0.000    0.000    0.012    0.006 collections.py:1398(__init__)
        1    0.000    0.000    0.012    0.012 art3d.py:1(<module>)
        8    0.000    0.000    0.011    0.001 __init__.py:108(import_module)
        8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
     6193    0.004    0.000    0.011    0.000 inspect.py:2637(__init__)
        2    0.000    0.000    0.011    0.006 collections.py:1443(set_segments)
        2    0.001    0.001    0.011    0.006 collections.py:1447(<listcomp>)
        6    0.000    0.000    0.011    0.002 axis.py:2599(_update_label_position)
