Distance,B
457,0.741210
458,0.741339
459,0.741468
460,0.741596
461,0.741725
462,0.741853
463,0.741981
464,0.742109
465,0.742237
466,0.742365
467,0.742492
468,0.742619
469,0.742746
470,0.742873
471,0.743000
472,0.743127
473,0.743253
474,0.743379
475,0.743506
476,0.743631
477,0.743757
478,0.743883
479,0.744008
480,0.744133
481,0.744258
482,0.744383
483,0.744508
484,0.744633
485,0.744757
486,0.744881
487,0.745005
488,0.745129
489,0.745253
490,0.745377
491,0.745500
492,0.745623
493,0.745746
494,0.745869
495,0.745992
496,0.746115
497,0.746237
498,0.746359
499,0.746482
500,0.746603
501,0.746725
502,0.746847
503,0.746968
504,0.747090
505,0.747211
506,0.747332
507,0.747453
508,0.747574
509,0.747694
510,0.747814
511,0.747935
512,0.748055
513,0.748175
514,0.748295
515,0.748414
516,0.748534
517,0.748653
518,0.748772
519,0.748891
520,0.749010
521,0.749129
522,0.749247
523,0.749366
524,0.749484
525,0.749602
526,0.749720
527,0.749838
528,0.749955
529,0.750073
530,0.750190
531,0.750308
532,0.750425
533,0.750542
534,0.750658
535,0.750775
536,0.750891
537,0.751008
538,0.751124
539,0.751240
540,0.751356
541,0.751472
542,0.751587
543,0.751703
544,0.751818
545,0.751933
546,0.752048
547,0.752163
548,0.752278
549,0.752393
550,0.752507
551,0.752622
552,0.752736
553,0.752850
554,0.752964
555,0.753078
556,0.753191
557,0.753305
558,0.753418
559,0.753531
560,0.753644
561,0.753757
562,0.753870
563,0.753983
564,0.754096
565,0.754208
566,0.754320
567,0.754432
568,0.754544
569,0.754656
570,0.754768
571,0.754880
572,0.754991
573,0.755102
574,0.755214
575,0.755325
576,0.755436
577,0.755547
578,0.755657
579,0.755768
580,0.755878
581,0.755989
582,0.756099
583,0.756209
584,0.756319
585,0.756428
586,0.756538
587,0.756648
588,0.756757
589,0.756866
590,0.756975
591,0.757084
592,0.757193
593,0.757302
594,0.757411
595,0.757519
596,0.757627
597,0.757736
598,0.757844
599,0.757952
600,0.758060
601,0.758167
602,0.758275
603,0.758383
604,0.758490
605,0.758597
606,0.758704
607,0.758811
608,0.758918
609,0.759025
610,0.759132
611,0.759238
612,0.759344
613,0.759451
614,0.759557
615,0.759663
616,0.759769
617,0.759875
618,0.759980
619,0.760086
620,0.760191
621,0.760297
622,0.760402
623,0.760507
624,0.760612
625,0.760717
626,0.760821
627,0.760926
628,0.761030
629,0.761135
630,0.761239
631,0.761343
632,0.761447
633,0.761551
634,0.761655
635,0.761758
636,0.761862
637,0.761965
638,0.762069
639,0.762172
640,0.762275
641,0.762378
642,0.762481
643,0.762584
644,0.762686
645,0.762789
646,0.762891
647,0.762993
648,0.763096
649,0.763198
650,0.763300
651,0.763402
652,0.763503
653,0.763605
654,0.763706
655,0.763808
656,0.763909
657,0.764010
658,0.764111
659,0.764212
660,0.764313
661,0.764414
662,0.764515
663,0.764615
664,0.764715
665,0.764816
666,0.764916
667,0.765016
668,0.765116
669,0.765216
670,0.765316
671,0.765415
672,0.765515
673,0.765614
674,0.765714
675,0.765813
676,0.765912
677,0.766011
678,0.766110
679,0.766209
680,0.766308
681,0.766406
682,0.766505
683,0.766603
684,0.766701
685,0.766800
686,0.766898
687,0.766996
688,0.767093
689,0.767191
690,0.767289
691,0.767386
692,0.767484
693,0.767581
694,0.767679
695,0.767776
696,0.767873
697,0.767970
698,0.768067
699,0.768163
700,0.768260
701,0.768356
702,0.768453
703,0.768549
704,0.768646
705,0.768742
706,0.768838
707,0.768934
708,0.769030
709,0.769125
710,0.769221
711,0.769316
712,0.769412
713,0.769507
714,0.769603
715,0.769698
716,0.769793
717,0.769888
718,0.769983
719,0.770077
720,0.770172
721,0.770267
722,0.770361
723,0.770455
724,0.770550
725,0.770644
726,0.770738
727,0.770832
728,0.770926
729,0.771020
730,0.771114
731,0.771207
732,0.771301
733,0.771394
734,0.771487
735,0.771581
736,0.771674
737,0.771767
738,0.771860
739,0.771953
740,0.772045
741,0.772138
742,0.772231
743,0.772323
744,0.772416
745,0.772508
746,0.772600
747,0.772692
748,0.772784
749,0.772876
750,0.772968
751,0.773060
752,0.773152
753,0.773243
754,0.773335
755,0.773426
756,0.773517
757,0.773609
758,0.773700
759,0.773791
760,0.773882
761,0.773972
762,0.774063
763,0.774154
764,0.774244
765,0.774335
766,0.774425
767,0.774516
768,0.774606
769,0.774696
770,0.774786
771,0.774876
772,0.774966
773,0.775056
774,0.775146
775,0.775235
776,0.775325
777,0.775414
778,0.775503
779,0.775593
780,0.775682
781,0.775771
782,0.775860
783,0.775949
784,0.776038
785,0.776127
786,0.776215
787,0.776304
788,0.776392
789,0.776481
790,0.776569
791,0.776657
792,0.776745
793,0.776834
794,0.776922
795,0.777009
796,0.777097
797,0.777185
798,0.777273
799,0.777360
800,0.777448
801,0.777535
802,0.777622
803,0.777710
804,0.777797
805,0.777884
806,0.777971
807,0.778058
808,0.778145
809,0.778231
810,0.778318
811,0.778405
812,0.778491
813,0.778578
814,0.778664
815,0.778750
816,0.778836
817,0.778922
818,0.779008
819,0.779094
820,0.779180
821,0.779266
822,0.779352
823,0.779437
824,0.779523
825,0.779608
826,0.779694
827,0.779779
828,0.779864
829,0.779949
830,0.780034
831,0.780119
832,0.780204
833,0.780289
834,0.780374
835,0.780458
836,0.780543
837,0.780628
838,0.780712
839,0.780796
840,0.780881
841,0.780965
842,0.781049
843,0.781133
844,0.781217
845,0.781301
846,0.781385
847,0.781468
848,0.781552
849,0.781636
850,0.781719
851,0.781803
852,0.781886
853,0.781969
854,0.782052
855,0.782136
856,0.782219
857,0.782302
858,0.782384
859,0.782467
860,0.782550
861,0.782633
862,0.782715
863,0.782798
864,0.782880
865,0.782963
866,0.783045
867,0.783127
868,0.783209
869,0.783291
870,0.783373
871,0.783455
872,0.783537
873,0.783619
874,0.783701
875,0.783782
876,0.783864
877,0.783945
878,0.784027
879,0.784108
880,0.784189
881,0.784271
882,0.784352
883,0.784433
884,0.784514
885,0.784595
886,0.784676
887,0.784756
888,0.784837
889,0.784918
890,0.784998
891,0.785079
892,0.785159
893,0.785240
894,0.785320
895,0.785400
896,0.785480
897,0.785560
898,0.785640
899,0.785720
900,0.785800
901,0.785880
902,0.785959
903,0.786039
904,0.786119
905,0.786198
906,0.786278
907,0.786357
908,0.786436
909,0.786516
910,0.786595
911,0.786674
912,0.786753
913,0.786832
914,0.786911
915,0.786989
916,0.787068
917,0.787147
918,0.787225
919,0.787304
920,0.787382
921,0.787461
922,0.787539
923,0.787618
924,0.787696
925,0.787774
926,0.787852
927,0.787930
928,0.788008
929,0.788086
930,0.788164
931,0.788241
932,0.788319
933,0.788397
934,0.788474
935,0.788552
936,0.788629
937,0.788706
938,0.788784
939,0.788861
940,0.788938
941,0.789015
942,0.789092
943,0.789169
944,0.789246
945,0.789323
946,0.789399
947,0.789476
948,0.789553
949,0.789629
950,0.789706
951,0.789782
952,0.789858
953,0.789935
954,0.790011
955,0.790087
956,0.790163
957,0.790239
958,0.790315
959,0.790391
960,0.790467
961,0.790543
962,0.790619
963,0.790694
964,0.790770
965,0.790845
966,0.790921
967,0.790996
968,0.791071
969,0.791147
970,0.791222
971,0.791297
972,0.791372
973,0.791447
974,0.791522
975,0.791597
976,0.791672
977,0.791747
978,0.791821
979,0.791896
980,0.791971
981,0.792045
982,0.792120
983,0.792194
984,0.792268
985,0.792343
986,0.792417
987,0.792491
988,0.792565
989,0.792639
990,0.792713
991,0.792787
992,0.792861
993,0.792935
994,0.793009
995,0.793082
996,0.793156
997,0.793229
998,0.793303
999,0.793376
1000,0.793450
1001,0.793523
1002,0.793596
1003,0.793670
1004,0.793743
1005,0.793816
1006,0.793889
1007,0.793962
1008,0.794035
1009,0.794107
1010,0.794180
1011,0.794253
1012,0.794326
1013,0.794398
1014,0.794471
1015,0.794543
1016,0.794616
1017,0.794688
1018,0.794760
1019,0.794833
1020,0.794905
1021,0.794977
1022,0.795049
1023,0.795121
1024,0.795193
1025,0.795265
1026,0.795337
1027,0.795409
1028,0.795480
1029,0.795552
1030,0.795624
1031,0.795695
1032,0.795767
1033,0.795838
1034,0.795910
1035,0.795981
1036,0.796052
1037,0.796123
1038,0.796195
1039,0.796266
1040,0.796337
1041,0.796408
1042,0.796479
1043,0.796550
1044,0.796620
1045,0.796691
1046,0.796762
1047,0.796832
1048,0.796903
1049,0.796974
1050,0.797044
1051,0.797115
1052,0.797185
1053,0.797255
1054,0.797326
1055,0.797396
1056,0.797466
1057,0.797536
1058,0.797606
1059,0.797676
1060,0.797746
1061,0.797816
1062,0.797886
1063,0.797956
1064,0.798025
1065,0.798095
1066,0.798165
1067,0.798234
1068,0.798304
1069,0.798373
1070,0.798442
1071,0.798512
1072,0.798581
1073,0.798650
1074,0.798719
1075,0.798789
1076,0.798858
1077,0.798927
1078,0.798996
1079,0.799065
1080,0.799133
1081,0.799202
1082,0.799271
1083,0.799340
1084,0.799408
1085,0.799477
1086,0.799545
1087,0.799614
1088,0.799682
1089,0.799751
1090,0.799819
1091,0.799887
1092,0.799956
1093,0.800024
1094,0.800092
1095,0.800160
1096,0.800228
1097,0.800296
1098,0.800364
1099,0.800432
1100,0.800500
1101,0.800567
1102,0.800635
1103,0.800703
1104,0.800770
1105,0.800838
1106,0.800905
1107,0.800973
1108,0.801040
1109,0.801108
1110,0.801175
1111,0.801242
1112,0.801309
1113,0.801376
1114,0.801443
1115,0.801511
1116,0.801578
1117,0.801644
1118,0.801711
1119,0.801778
1120,0.801845
1121,0.801912
1122,0.801978
1123,0.802045
1124,0.802112
1125,0.802178
1126,0.802245
1127,0.802311
1128,0.802377
1129,0.802444
1130,0.802510
1131,0.802576
1132,0.802643
1133,0.802709
1134,0.802775
1135,0.802841
1136,0.802907
1137,0.802973
1138,0.803039
1139,0.803104
1140,0.803170
1141,0.803236
1142,0.803302
1143,0.803367
1144,0.803433
1145,0.803498
1146,0.803564
1147,0.803629
1148,0.803695
1149,0.803760
1150,0.803825
1151,0.803891
1152,0.803956
1153,0.804021
1154,0.804086
1155,0.804151
1156,0.804216
1157,0.804281
1158,0.804346
1159,0.804411
1160,0.804476
1161,0.804541
1162,0.804605
1163,0.804670
1164,0.804735
1165,0.804799
1166,0.804864
1167,0.804928
1168,0.804993
1169,0.805057
1170,0.805122
1171,0.805186
1172,0.805250
1173,0.805314
1174,0.805378
1175,0.805443
1176,0.805507
1177,0.805571
1178,0.805635
1179,0.805699
1180,0.805762
1181,0.805826
1182,0.805890
1183,0.805954
1184,0.806018
1185,0.806081
1186,0.806145
1187,0.806208
1188,0.806272
1189,0.806335
1190,0.806399
1191,0.806462
1192,0.806525
1193,0.806589
1194,0.806652
1195,0.806715
1196,0.806778
1197,0.806841
1198,0.806904
1199,0.806967
1200,0.807030
1201,0.807093
1202,0.807156
1203,0.807219
1204,0.807282
1205,0.807345
1206,0.807407
1207,0.807470
1208,0.807533
1209,0.807595
1210,0.807658
1211,0.807720
1212,0.807783
1213,0.807845
1214,0.807907
1215,0.807970
1216,0.808032
1217,0.808094
1218,0.808156
1219,0.808218
1220,0.808280
1221,0.808342
1222,0.808404
1223,0.808466
1224,0.808528
1225,0.808590
1226,0.808652
1227,0.808714
1228,0.808775
1229,0.808837
1230,0.808899
1231,0.808960
1232,0.809022
1233,0.809083
1234,0.809145
1235,0.809206
1236,0.809267
